Item List,Item description,Owner of item,Item complexity,Drawn?,Solid,Character profiles,Bonus Dev profiles
Heart,/,/,,,FALSE,,
Message in a Bottle,"Hello! I love you! Thanks for playing the game! Pass me on, please!",n/a,Low,👍,TRUE,,Esther
Sitting Pillow,Who needs chairs when there's floor pillows?,n/a,Low,🌟,FALSE,,Sav (1)
Coffee Table,Mmmm. A cup of coffee on this would be beautiful...,n/a,Low,Yes,TRUE,,James
Dining Table,Many good meals have been eaten on this table. Hopefully many more to come.,n/a,Low,,TRUE,,Jarrod
Kitchen Sink,Gotta wash those dishes somewhere!,n/a,Low,Sure,TRUE,,Eleanor
Toilet,"A good place to scroll Twitter, if that's your thing.",n/a,Low,Dung,TRUE,,
Bed,"For sleeping. Or eating a sandwich in, but brush off the crumbs.",n/a,Low,,TRUE,,
Stove,"Cook up some tasty meals, some healthy meals and some comfort food meals. Whatever you need today.",n/a,Low,,TRUE,,
Tree,A tree! You really going to put a tree inside? That's bold. That's daring. I love it.,n/a,Low,,TRUE,,
,,,,,FALSE,,
Couch,"Good for sitting, napping, and for pets to get hair on.",n/a,Medium,,TRUE,,
Skeleton,Spooky scary.,n/a,High,,TRUE,,
Cane ,"Walking aids can be expensive.  For my birthday though, I got a new one. It's only fair to pay it forward.",Akiara,Low,,TRUE,"Akiara: Artist, watercolours, disabled (they/them) ",
Crutches,"I don't use them as much as I needed to previously, so I'm getting rid of them in hopes they find someone who needs them.",Akiara,Low,,TRUE,,
Coloured Pencils,I sat outside a lot to draw animals and birds. I want whoever finds it to try as well. ,Akiara,Low,,TRUE,,
Box of Watercolours,"Watercolours are such a unique way of painting. Everyone should try it, even if you don't think you're good. Play with colours, and waters. Art is about your soul.",Akiara,Low,,TRUE,,
Paintbrush,"This is a goats hair brush. Plastic brush hairs kill fish, but this is trimmed ethically and biodegradable. Art should be responsible. I've got so many, please use this one.",Akiara,Medium,,TRUE,,
Box of Chocolates,I love this type of chocolate so much. They've got so many different types... I want to share it with whoever else loves chocolate!,Amalie,Low,Aten,TRUE,Amalie: Introvert. Comfort and good sensory items (She/he) ,
Lamp,"Makes a great buzz. It's a bit too loud for me though. It's got a soft yellow light. Goodbye lamp, travel to someone and light up their life. ",Amalie,Low,,TRUE,,
Rug/Carpet,Soft to the touch. Does that cool different colour thing when you rub it one way. ,Amalie,Low,,FALSE,,
Sleeping Kitty,"If you pet him he'll make a little 'prrp!' noise. His name is Charlie, please love him like I have. He will love you in return.",Amalie,Medium,,TRUE,,
Bonsai Tree,These are so much fun to look after and train. It's a great mindfulness technique to care for these. (This one is called Bertie.),Amelie,High,,TRUE,,
Viking Helmet,"Supposedly, this belonged to a viking. But Vikings don't have horns on their helmets, so I've never been sure who's helmet this is. Maybe it'll find its way home.",Efe,Low,,TRUE,Efe: Historian buff with a lot of books and ancient items (he/him) ,
Shield,"This was truly fascinating to me! It belonged to an ancient warrior woman who escorted a young mother and child across the wilderness and ended up falling in love with her! But, it's way too large for my shelf.",Efe,Medium,,TRUE,,
Stack of Books,"I've read these all before, so now it's time to let them go so someone else can read and enjoy them. Thank you, books. ",Efe,Low,,TRUE,,
Glasses,"I know prescriptions are expensive. I hope these can reach someone who needs them, they're +2 magnification! ",Efe,Low,,TRUE,,
Globe of Pangea,If you lift up the top half it's a drinks cabinet inside (don't tell my husband),Efe,Low,,TRUE,,
Space Rock,"It floats! I brought it back from space, but it's literally a rock. I have so many. ",Eugene,Low,,TRUE,Eugene: An astronaut non-binary dork (he/they) ,
Space Helmet,"It won't work for space anymore, but if you feel like playing dressups, you might like it! plus, it came with me a bunch so it's got a lot of history.",Eugene,Medium,,TRUE,,
